denomination,number_mp,num_observations,osc_epoch,semi_major_axis,eccentricity,inclination,long_asc_node,arg_perihelion,mean_anomaly,x_au,y_au,z_au,vx_au_day,vy_au_day,vz_au_day,heliocentric_distance_au,velocity_magnitude_au_day
galya,2317,608,2220.0,2.5228514852073998,0.16543023895363723,0.07276791977779329,3.2680156376019736,-2.71626499873454,-1.51929038311087,0.697645159787952,-2.3364129503112157,-0.8115675447155518,0.00961690422013903,0.0042449650620030544,0.0015802409006248767,2.569859164038595,0.010630227488674086
matsumotomas,9573,606,2206.0,2.9178973334748703,0.0902002707769785,0.04420870878373684,0.6808879620366284,-0.7606060495707752,-2.8192064861782162,-3.111039111317377,-0.579538114582618,-0.17943124470765678,0.001987881279720215,-0.008123239272037874,-0.003919825294299701,3.169641044342045,0.009236001222979143
hooghoudt,6072,606,2205.0,3.1546479364846056,0.01854959873969691,0.1599005984826316,3.2980687481906883,2.090642054523023,-2.051996757456279,-3.1406390884822404,-0.4736738085985255,-0.2019861418744226,0.0016891022418048388,-0.00916395336991691,-0.002307528101198768,3.182574298043033,0.00959978091870349
veteraniya,2011,601,2191.0,2.386593916251444,0.1492802913648803,0.10797931341233591,5.909116082319379,0.05721015511342376,2.0779494307096984,-1.0796636161178867,2.081129750475856,1.114416336559905,-0.009711193443841831,-0.002509596792038675,-0.0018410778858095416,2.5959002934388775,0.010197790051964412
vespa,6062,601,2162.0,3.2125846961893867,0.1593253987442648,0.04879217708254502,2.039149579537431,2.7032236922137027,-2.4886744358007005,-1.7998786776618432,2.903854234674966,1.2683215533894647,-0.0068958286736033395,-0.0045201800075832825,-0.0015180982732174184,3.6442519442724786,0.008383859657925537
peterhobbs,65213,598,2202.0,3.065713065749299,0.0646790891383815,0.22286456540352617,3.1946867237690744,0.4020020603122139,-3.0064398104435437,2.7414841640253647,1.7315589184280893,0.35951625948029514,-0.0050565375169709555,0.0075788477692776066,0.0013699615275202344,3.2624045810445415,0.009213267593926952
coleman,11821,597,2166.0,3.0722134501023484,0.04576895870327052,0.16765326437803552,0.21547445218778893,1.674556470708452,-2.238688629715883,2.8851412002685053,-1.0302645844662288,-0.787223302907682,0.00358483909384057,0.007486825873220376,0.004677616190716372,3.163100597219924,0.009528049444262013
victorplatt,3237,596,2213.0,3.0144951887578655,0.06600414535812628,0.15898723287523975,4.8924552125501215,-0.3481239962157011,1.9859500407593091,2.8642500798293162,0.8149956082480153,0.8801729182607336,-0.0028715146170206485,0.008491322671628363,0.0034748194101495438,3.105293984038454,0.009613663549481285
ashida,9227,589,2220.0,3.0763780259273807,0.037404582850284106,0.06348644289479988,5.875019335821776,-2.6470524369775763,-2.5676557913021414,2.578965904461255,1.62181726976649,0.8912514033096478,-0.005684556758291867,0.006859062712987936,0.003301157827733982,3.1742220238647305,0.009500451033637955
totanus,8770,586,2263.0,3.1139710161548164,0.12263009974017837,0.036695995567565864,1.2935934894848256,1.1253852113936718,2.3591293746692177,0.7454218625880631,-3.0242506657938715,-1.3762406520981156,0.008781568043887992,0.0012662902526828469,0.0002247314981423431,3.4052583125610862,0.00887524267610366
