source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,l,b,distance_pc,bp_rp
3233387552369507840,72.18592946118207,3.588457171377757,3.6480222523686896,0.0374785,-1.2110433039263087,-16.55230559767157,5.696211,6.2915945,4.959854,-18.36891,194.39297630431315,-25.124957898276307,274.1211349110308,1.3317404
3434580588066944512,99.59579194496526,28.9842759204584,8.274385478319216,0.1571188,-16.782970886489487,-13.863893627747563,5.728962,5.739671,5.7286634,,185.46596596005773,10.173745376319502,120.85489642949666,0.011007786
3058141273105882496,110.6057382329205,-5.982867319045676,3.893894860113401,0.041970372,-11.88987042380819,-8.64108930730623,5.738196,5.9228735,5.4127746,0.7837455,221.80742097160226,4.116061618232139,256.8122756069683,0.51009893
3145477818158061056,118.8809364775741,8.862441705606342,25.807478423095922,0.03775851,-7.876404886866307,-89.4460347329786,5.771353,5.9495683,5.4509983,23.841238,212.1617619851693,18.23721105366833,38.74845824166489,0.49856997
3182907530429025280,77.0841500659447,-8.66542025606322,4.9051874211675655,0.054357067,4.913130280902777,-21.337215842879605,5.798193,5.7462673,5.8562903,,208.95253862493962,-26.8263646486241,203.86580861001502,-0.11002302
3396789475769063552,85.34416832230625,17.522149548222917,1.2747027312968244,0.051647652,-1.9152309924048676,-5.78082085151591,5.8509088,7.2416816,4.681519,52.856575,189.25174705790215,-6.784664577932917,784.4966323894557,2.5601625
3137212170779314944,115.20414056287476,4.071405054971843,3.847822474704588,0.026218005,-21.529763158731683,-92.66610643512927,5.942886,6.777576,5.037856,36.58252,214.93330036076964,12.836328426015424,259.8872496259781,1.7397199
3163926729918019840,116.05851526865287,12.859988628214268,4.976204857645785,0.025914533,-13.206762790162848,-18.525287714782024,5.9467783,6.6690826,5.120251,26.302206,207.12197499982068,17.4339227381192,200.95635702447638,1.5488315
2951307019634077312,96.6777532821953,-14.603484154629502,5.125605095690452,0.028730448,2.872384185937909,-12.220336759713357,5.951083,6.560963,5.2022176,26.413332,223.34941381483853,-11.987965320262008,195.09891638760624,1.3587456
2946813453049392768,99.64756523978271,-16.87365617853588,6.397462415854334,0.035024617,-9.128462188344468,-24.66494142358919,6.001098,6.013022,5.9455633,9.146181,226.68677717991955,-10.37402857491877,156.31197731178187,0.06745863
3001776836731440000,98.19523746116896,-11.166363046299626,5.02366052859205,0.22265956,-14.834805956179224,5.027865881296453,6.012154,6.506683,5.361305,5.060736,220.848756614036,-9.166603029236482,199.05803632799683,1.1453776
3431289200010608000,90.02056857652185,28.12565878913647,2.7625075315962886,0.039667826,4.757263860906086,-17.4223645215278,6.0126414,6.957071,5.0516796,9.489355,182.31304706526032,2.323517074920784,361.98996330777766,1.9053912
3334856322238658432,84.33046833300672,8.951862455554455,2.6017420969622695,0.06393446,1.1830940010934232,-2.7306132944401047,6.072995,5.973141,6.2213736,,196.19666231495015,-12.030159746650087,384.3578505216084,-0.24823236
3371047988717092096,98.07744564143474,17.784468616918545,10.821669392531566,0.045113336,36.90662413948279,26.549172594717753,6.139234,6.4091616,5.700471,2.7943296,194.9473976720212,3.935060801704592,92.40718448580003,0.70869064
3372625581744881536,96.98599313740625,20.496377692305956,5.275256234257143,0.045303293,-28.998116360610627,12.777610752020413,6.202433,6.2201433,6.1360884,36.51036,192.05743907526278,4.264044783194417,189.56425159143367,0.08405495
3038654697244543232,121.61419728324061,-9.244436866944131,3.588317371814668,0.033401415,-5.26064482185698,4.868497938240063,6.2181754,6.1975017,6.2190166,27.51994,230.04055317992297,12.074179114061774,278.6821499833735,-0.021514893
3167187056774512128,108.3488854631727,13.762922119009527,3.2787958363846497,0.046569213,-19.879908398267393,-8.250556764462,6.234926,6.859114,5.4763746,49.955585,202.99596598104236,11.02131295702314,304.9900176470413,1.3827395
